img_path,crop_path,class
meta/al/exemplar_crops/crops/barrier/9bbe1f7f66d745089ab11df867531b5a.jpg,meta/al/exemplar_crops/crops/barrier/9bbe1f7f66d745089ab11df867531b5a.jpg,barrier
meta/al/exemplar_crops/crops/barrier/ebcd68787faa4be3a3c919411021dec7.jpg,meta/al/exemplar_crops/crops/barrier/ebcd68787faa4be3a3c919411021dec7.jpg,barrier
meta/al/exemplar_crops/crops/barrier/e2e7e1d6805d4f90a5aeb49ace0de365.jpg,meta/al/exemplar_crops/crops/barrier/e2e7e1d6805d4f90a5aeb49ace0de365.jpg,barrier
meta/al/exemplar_crops/crops/barrier/c83ebd5b7ef44d4980d78b049aa0a361.jpg,meta/al/exemplar_crops/crops/barrier/c83ebd5b7ef44d4980d78b049aa0a361.jpg,barrier
meta/al/exemplar_crops/crops/barrier/8de6b30374164cbfae8d65c1a3639fe9.jpg,meta/al/exemplar_crops/crops/barrier/8de6b30374164cbfae8d65c1a3639fe9.jpg,barrier
meta/al/exemplar_crops/crops/barrier/e31bbdea00fb4c0195a2880c95b42fcf.jpg,meta/al/exemplar_crops/crops/barrier/e31bbdea00fb4c0195a2880c95b42fcf.jpg,barrier
meta/al/exemplar_crops/crops/barrier/eb4eb54287f94cef9e0db2f8464acfc5.jpg,meta/al/exemplar_crops/crops/barrier/eb4eb54287f94cef9e0db2f8464acfc5.jpg,barrier
meta/al/exemplar_crops/crops/barrier/4a13fedfdfa44903be62bdb4be97f515.jpg,meta/al/exemplar_crops/crops/barrier/4a13fedfdfa44903be62bdb4be97f515.jpg,barrier
meta/al/exemplar_crops/crops/barrier/4b964e238ceb414ca89d8328c9b1f925.jpg,meta/al/exemplar_crops/crops/barrier/4b964e238ceb414ca89d8328c9b1f925.jpg,barrier
meta/al/exemplar_crops/crops/barrier/7141d854b146467abf27d827c75796a9.jpg,meta/al/exemplar_crops/crops/barrier/7141d854b146467abf27d827c75796a9.jpg,barrier
meta/al/exemplar_crops/crops/barrier/056b0c7168ac40f1b5fe6e05407fa46c.jpg,meta/al/exemplar_crops/crops/barrier/056b0c7168ac40f1b5fe6e05407fa46c.jpg,barrier
meta/al/exemplar_crops/crops/barrier/6924827d712649aea9fb3995963dc762.jpg,meta/al/exemplar_crops/crops/barrier/6924827d712649aea9fb3995963dc762.jpg,barrier
meta/al/exemplar_crops/crops/barrier/e1dfd7268ac14ac69ee52a9d9299ab42.jpg,meta/al/exemplar_crops/crops/barrier/e1dfd7268ac14ac69ee52a9d9299ab42.jpg,barrier
meta/al/exemplar_crops/crops/barrier/a7314f293c574091890ab7dd38ec336e.jpg,meta/al/exemplar_crops/crops/barrier/a7314f293c574091890ab7dd38ec336e.jpg,barrier
meta/al/exemplar_crops/crops/barrier/a6aee911d6a24e5b8f07def0e6480f51.jpg,meta/al/exemplar_crops/crops/barrier/a6aee911d6a24e5b8f07def0e6480f51.jpg,barrier
